Temperature,Humidity,HeartRate,SpO2,HeatIndex,Label
36.66,76.94,130.6,94.9,48.23,WARNING
34.71,54.08,141.7,94.1,40.55,DANGER
39.47,53.44,150.3,91.2,48.06,DANGER
41.57,90.14,166.0,90.8,61.32,CRITICAL
30.39,74.67,129.9,93.6,37.05,WARNING
22.83,62.76,92.8,98.4,24.58,SAFE
34.64,62.41,93.4,96.6,41.95,DANGER
37.6,63.31,127.8,98.3,47.09,WARNING
40.15,73.11,155.9,93.8,54.01,CRITICAL
34.14,60.92,138.4,96.6,40.87,WARNING
33.32,81.46,143.2,96.0,43.03,DANGER
32.39,27.15,83.1,97.0,32.72,SAFE
32.87,66.81,100.7,97.6,39.84,WARNING
43.96,50.39,178.8,95.9,54.99,CRITICAL
36.21,47.59,154.2,95.4,41.61,DANGER
33.85,32.68,135.1,98.5,35.52,WARNING
33.72,57.51,81.1,97.3,39.63,SAFE
35.77,79.38,151.4,94.0,47.07,DANGER
36.51,78.65,146.4,93.8,48.31,DANGER
42.11,72.25,151.4,96.9,57.7,DANGER
22.97,42.1,83.9,97.8,22.85,SAFE
26.62,46.13,66.6,97.0,27.91,SAFE
34.91,63.28,147.2,93.5,42.55,DANGER
33.33,85.65,144.6,96.7,43.76,DANGER
34.19,55.71,155.0,94.8,40.03,DANGER
41.56,81.51,168.0,95.4,59.01,CRITICAL
46.8,57.23,159.5,93.2,62.55,CRITICAL
33.0,60.92,143.0,94.3,39.07,DANGER
37.72,39.76,136.5,94.6,42.25,DANGER
39.02,84.45,124.1,95.1,54.44,WARNING
32.78,61.89,147.5,96.5,38.89,DANGER
40.81,71.17,152.9,93.2,54.82,CRITICAL
46.5,74.35,190.0,94.3,67.78,CRITICAL
39.69,74.09,170.9,94.2,53.35,CRITICAL
38.05,62.99,133.6,96.6,47.81,DANGER
36.87,70.06,140.2,94.5,47.21,DANGER
35.75,75.45,142.0,95.0,46.29,DANGER
39.06,79.6,146.0,96.3,53.41,DANGER
35.95,33.03,150.4,93.7,38.39,DANGER
27.15,29.23,95.6,98.3,26.61,SAFE
39.47,72.39,190.0,91.6,52.53,CRITICAL
20.51,42.24,55.0,98.0,19.87,SAFE
35.24,59.03,148.0,95.5,42.3,DANGER
24.17,52.86,100.2,98.5,25.41,SAFE
45.61,67.65,146.8,92.2,63.58,DANGER
40.15,46.93,167.6,92.7,47.61,DANGER
28.81,47.73,90.7,96.9,31.03,SAFE
35.05,40.65,149.0,95.0,38.58,DANGER
35.02,89.07,151.8,94.3,47.51,DANGER
41.1,79.07,177.3,95.9,57.41,CRITICAL
39.07,63.04,186.8,92.2,49.61,CRITICAL
23.95,58.57,82.6,99.4,25.68,SAFE
28.73,94.45,130.1,96.7,36.98,WARNING
37.76,75.34,151.0,95.6,49.96,DANGER
34.83,63.0,128.7,95.7,42.36,WARNING
33.59,43.44,151.3,96.1,37.02,DANGER
32.65,59.62,190.0,94.2,38.32,DANGER
21.84,40.13,109.8,98.1,21.3,SAFE
37.21,71.03,155.7,94.3,48.02,DANGER
34.97,84.98,118.1,97.1,46.64,WARNING
33.74,57.67,149.9,95.7,39.68,DANGER
36.93,66.18,158.8,95.3,46.52,DANGER
39.89,48.73,148.4,96.1,47.63,DANGER
22.83,41.49,116.7,97.2,22.63,SAFE
35.64,53.63,161.8,95.3,41.91,DANGER
36.9,46.6,145.4,94.4,42.45,DANGER
36.57,71.82,150.8,93.7,47.04,DANGER
37.91,80.31,144.3,97.5,51.31,DANGER
42.96,77.87,128.7,95.7,61.02,DANGER
35.29,32.37,131.1,95.7,37.37,WARNING
33.97,73.24,144.2,93.7,42.76,WARNING
42.73,87.59,147.6,91.6,63.25,CRITICAL
42.88,68.73,176.1,94.5,58.28,DANGER
41.79,63.46,176.1,94.3,54.7,CRITICAL
27.5,36.61,90.9,96.1,27.92,SAFE
44.38,83.96,175.3,95.3,65.99,CRITICAL
26.94,38.55,98.0,99.8,27.44,SAFE
32.8,51.52,144.2,95.7,37.23,DANGER
35.62,63.8,130.0,93.0,43.82,DANGER
41.45,84.11,162.0,94.6,59.47,DANGER
29.26,64.23,138.5,97.8,33.85,WARNING
40.03,93.53,140.7,96.1,58.74,DANGER
27.2,38.07,87.5,97.1,27.71,SAFE
33.96,86.65,132.2,94.8,45.08,DANGER
42.81,87.42,172.1,90.7,63.38,CRITICAL
33.15,54.75,130.9,97.5,38.28,WARNING
28.15,60.81,95.8,100.0,31.78,SAFE
28.04,28.94,94.6,98.3,27.65,SAFE
22.37,32.63,100.9,97.7,21.28,SAFE
32.55,63.88,139.3,97.9,38.85,WARNING
24.95,49.01,90.0,98.7,26.05,SAFE
35.9,43.9,153.4,93.9,40.43,DANGER
29.8,70.84,143.4,95.5,35.57,WARNING
28.35,18.58,97.3,98.7,26.7,SAFE
31.19,34.72,131.1,95.7,32.37,WARNING
42.98,84.75,160.0,94.9,63.01,CRITICAL
43.96,77.94,171.8,94.0,63.21,CRITICAL
31.91,65.18,141.5,98.3,38.05,WARNING
27.83,54.78,113.5,98.4,30.58,SAFE
37.92,80.77,176.9,93.0,51.44,CRITICAL
37.71,78.03,135.9,93.8,50.44,CRITICAL
30.39,51.52,128.5,96.7,33.74,WARNING
39.47,64.37,163.7,95.3,50.64,DANGER
34.7,46.82,127.8,96.6,39.21,WARNING
40.96,66.15,171.1,92.9,53.82,CRITICAL
41.44,83.04,158.1,89.7,59.15,CRITICAL
36.49,82.52,142.6,92.6,49.05,DANGER
25.4,25.85,101.7,99.0,24.16,SAFE
20.7,89.87,96.9,98.6,23.91,SAFE
41.38,74.91,151.2,90.0,56.92,CRITICAL
29.72,49.12,93.0,97.0,32.47,SAFE
30.1,52.16,127.0,98.2,33.41,WARNING
26.52,40.64,119.8,98.2,27.16,SAFE
40.97,57.51,143.6,96.2,51.66,DANGER
35.26,59.64,140.1,93.7,42.45,DANGER
41.18,76.23,189.4,93.6,56.85,CRITICAL
26.09,30.88,102.2,98.3,25.53,SAFE
33.31,48.87,140.0,94.8,37.53,DANGER
36.63,79.54,149.5,94.2,48.72,DANGER
31.31,42.07,117.7,95.6,33.64,WARNING
38.01,74.45,146.4,93.6,50.22,DANGER
35.12,64.7,153.4,95.5,43.16,DANGER
20.38,35.02,92.7,98.5,19.14,SAFE
29.53,38.75,139.1,96.2,30.79,WARNING
48.0,75.67,183.4,94.4,71.75,CRITICAL
39.35,62.61,187.3,91.0,50.0,CRITICAL
30.65,68.69,134.1,96.3,36.6,WARNING
30.77,45.65,130.8,95.1,33.42,WARNING
30.92,48.75,121.0,94.8,34.09,WARNING
39.12,59.12,148.0,91.1,48.79,DANGER
43.33,55.3,189.2,91.5,55.31,CRITICAL
29.34,54.45,147.5,97.1,32.66,WARNING
40.99,91.42,170.1,95.6,60.35,CRITICAL
33.84,32.44,122.7,96.6,35.47,WARNING
29.06,43.03,82.2,98.8,30.75,SAFE
35.13,72.72,139.1,95.0,44.66,DANGER
34.09,48.28,167.5,94.8,38.57,WARNING
42.92,73.53,157.5,90.4,59.71,CRITICAL
30.16,53.14,120.4,96.3,33.65,WARNING
37.76,56.22,148.4,94.3,45.85,DANGER
37.7,66.33,163.5,94.0,47.92,DANGER
34.74,63.79,114.7,94.5,42.36,WARNING
38.7,75.65,178.1,92.3,51.81,CRITICAL
38.24,84.08,136.5,95.1,52.79,DANGER
36.74,66.02,177.3,91.7,46.17,CRITICAL
22.54,55.46,77.7,96.7,23.53,SAFE
31.75,56.21,115.5,95.6,36.41,WARNING
27.9,41.24,78.8,98.9,29.0,SAFE
26.45,47.34,117.0,98.5,27.82,WARNING
24.85,62.43,103.2,97.3,27.3,SAFE
34.75,68.87,160.9,92.4,43.3,DANGER
37.88,60.6,181.0,91.5,46.99,CRITICAL
44.42,83.87,166.8,91.5,66.06,CRITICAL
37.53,68.89,182.1,96.3,48.16,CRITICAL
26.78,56.24,141.9,98.6,29.29,WARNING
36.15,61.79,128.2,97.0,44.32,WARNING
22.1,44.22,50.2,98.3,21.97,SAFE
38.87,45.14,120.0,98.0,45.17,WARNING
41.38,82.77,155.7,89.2,58.97,CRITICAL
32.62,49.0,128.9,96.7,36.56,WARNING
39.93,71.0,142.3,90.9,53.07,CRITICAL
37.36,52.32,146.9,94.5,44.37,DANGER
31.21,54.64,118.1,96.4,35.39,SAFE
33.71,85.1,151.0,93.6,44.36,CRITICAL
32.42,67.87,116.3,99.3,39.29,WARNING
40.75,62.41,174.9,95.5,52.49,CRITICAL
37.38,81.22,137.7,96.4,50.48,DANGER
28.25,49.53,92.5,98.6,30.5,SAFE
21.17,32.21,66.8,98.4,19.83,SAFE
39.34,58.63,154.1,94.3,49.05,DANGER
39.98,59.39,157.5,94.5,50.36,DANGER
28.96,26.63,85.0,97.7,28.46,SAFE
29.03,62.92,127.4,97.3,33.33,WARNING
44.3,77.33,160.3,92.2,63.78,CRITICAL
41.05,79.62,160.6,90.5,57.45,CRITICAL
34.96,79.12,117.1,97.4,45.55,WARNING
28.23,36.12,88.5,98.4,28.78,SAFE
21.5,43.4,102.2,98.8,21.16,SAFE
20.77,69.31,103.2,97.7,22.36,SAFE
34.01,89.05,122.0,96.3,45.6,WARNING
35.83,47.39,61.8,97.9,41.01,SAFE
38.7,41.59,153.0,95.3,44.1,DANGER
44.24,69.41,162.9,88.0,61.26,CRITICAL
42.83,77.93,164.0,93.4,60.75,DANGER
40.49,88.06,170.7,95.4,58.4,CRITICAL
41.33,72.37,147.8,93.5,56.15,DANGER
41.02,67.08,140.5,96.5,54.18,DANGER
27.04,42.9,77.7,98.3,28.08,SAFE
24.91,44.51,105.5,98.8,25.52,SAFE
34.71,57.48,168.9,95.2,41.16,DANGER
25.66,10.0,67.5,96.1,22.75,SAFE
24.45,51.57,71.3,96.2,25.65,SAFE
40.86,70.56,186.7,91.7,54.76,CRITICAL
29.01,42.17,118.2,96.6,30.57,WARNING
37.72,90.08,125.5,94.1,53.03,WARNING
26.95,39.2,117.0,98.4,27.53,SAFE
33.76,92.92,156.7,96.6,45.8,DANGER
40.48,60.39,160.1,94.1,51.5,DANGER
41.93,89.34,170.4,93.2,61.92,CRITICAL
27.46,50.98,82.5,99.1,29.6,SAFE
32.91,45.92,142.7,94.6,36.46,DANGER
28.65,44.79,76.4,99.5,30.44,SAFE
35.9,62.83,154.2,91.9,44.1,DANGER
29.29,80.82,83.2,96.6,36.12,SAFE
33.61,98.0,162.8,94.6,46.38,DANGER
42.49,54.73,148.7,93.0,53.62,CRITICAL
39.55,58.42,163.2,92.2,49.38,CRITICAL
24.58,35.3,111.4,96.3,24.17,SAFE
36.31,59.44,143.4,94.8,44.11,DANGER
42.91,86.88,137.5,94.0,63.47,CRITICAL
40.82,60.56,148.1,93.9,52.16,DANGER
24.36,56.38,88.9,97.6,26.02,SAFE
41.91,61.03,176.6,92.2,54.27,CRITICAL
40.51,39.2,136.0,93.7,46.27,DANGER
25.12,37.93,87.1,97.3,25.1,SAFE
36.35,28.57,127.9,96.5,38.03,WARNING
33.5,65.5,125.8,95.5,40.64,WARNING
25.78,34.73,79.4,98.3,25.57,SAFE
30.73,54.53,66.1,99.3,34.67,SAFE
35.52,61.27,167.4,98.0,43.18,DANGER
29.77,61.23,137.6,95.4,34.2,WARNING
34.98,51.06,143.5,95.3,40.41,DANGER
40.46,57.38,172.5,90.3,50.71,CRITICAL
32.74,68.33,112.0,95.1,39.89,WARNING
26.58,68.42,93.3,97.6,30.41,SAFE
38.09,76.07,180.8,93.2,50.73,CRITICAL
42.58,64.73,153.7,93.6,56.57,DANGER
26.74,28.74,106.9,97.8,26.06,SAFE
40.43,75.26,143.5,95.7,55.09,DANGER
39.15,73.78,177.2,93.5,52.24,CRITICAL
28.63,57.72,100.7,98.8,32.08,SAFE
31.38,58.96,88.9,98.3,36.28,SAFE
37.62,49.96,131.6,94.9,44.28,WARNING
36.95,59.57,118.9,98.6,45.2,WARNING
36.07,53.2,130.1,94.2,42.51,DANGER
36.87,28.24,148.8,95.4,38.65,DANGER
37.01,82.37,147.6,95.8,50.01,DANGER
40.31,55.65,136.4,90.3,50.03,DANGER
33.39,54.79,140.7,97.1,38.65,WARNING
24.75,32.55,71.9,96.7,24.1,SAFE
22.89,52.65,95.3,97.8,23.72,SAFE
37.38,60.42,154.5,96.1,46.1,DANGER
31.4,56.65,143.3,97.0,35.96,WARNING
41.5,56.69,164.2,92.6,52.37,CRITICAL
34.08,24.77,111.4,96.7,34.44,WARNING
38.37,77.01,160.7,93.4,51.48,DANGER
34.3,66.18,156.8,93.9,42.07,DANGER
34.94,56.46,157.0,95.3,41.35,WARNING
43.29,86.35,166.4,88.8,64.19,CRITICAL
37.54,76.47,158.1,94.2,49.78,DANGER
41.56,65.69,145.5,95.8,54.86,DANGER
40.4,81.37,140.4,97.5,56.54,DANGER
42.6,56.99,146.3,92.7,54.45,DANGER
41.75,77.53,139.0,91.4,58.37,CRITICAL
35.43,23.04,117.8,95.9,35.79,WARNING
33.72,98.0,147.0,95.2,46.6,DANGER
23.58,38.62,100.8,98.5,23.28,SAFE
36.57,55.07,161.4,94.9,43.67,WARNING
33.33,68.41,146.4,93.8,40.85,DANGER
40.33,81.9,162.0,93.4,56.53,CRITICAL
36.8,92.84,142.2,98.1,51.75,SAFE
36.77,54.45,151.6,92.6,43.86,DANGER
20.46,31.35,90.5,97.0,18.95,SAFE
26.26,42.75,119.7,96.5,27.06,WARNING
33.85,51.58,131.1,94.0,38.79,DANGER
35.64,76.72,143.2,98.9,46.33,WARNING
47.78,76.48,190.0,92.8,71.52,CRITICAL
30.17,66.23,106.4,97.1,35.5,SAFE
33.95,72.8,148.3,95.9,42.64,DANGER
29.46,47.43,113.3,99.6,31.87,SAFE
40.2,93.16,164.7,92.2,59.03,CRITICAL
32.12,84.04,148.3,93.5,41.35,DANGER
33.91,44.21,146.4,92.8,37.61,DANGER
33.84,74.62,117.2,96.8,42.77,WARNING
24.28,77.29,93.6,98.0,27.99,SAFE
25.83,45.08,78.4,96.9,26.76,SAFE
35.55,56.36,139.4,95.1,42.29,DANGER
34.58,72.03,126.3,96.0,43.59,WARNING
29.97,58.44,116.4,95.2,34.12,WARNING
28.77,61.77,100.4,99.5,32.81,SAFE
39.46,74.3,173.3,90.5,52.97,CRITICAL
36.51,54.99,145.9,95.9,43.55,DANGER
42.03,82.23,153.3,93.1,60.23,DANGER
34.26,27.38,130.6,93.4,35.12,WARNING
23.07,56.93,118.2,99.2,24.35,SAFE
35.56,57.42,131.0,95.4,42.5,DANGER
37.23,63.93,138.5,95.2,46.59,CRITICAL
41.3,47.55,128.8,94.5,49.64,DANGER
30.55,50.72,124.5,96.8,33.86,WARNING
33.75,68.65,116.1,95.8,41.58,WARNING
35.28,32.02,159.0,92.7,37.3,DANGER
39.7,94.26,155.8,91.6,58.19,CRITICAL
41.86,67.1,153.5,90.9,55.81,CRITICAL
39.12,59.95,162.9,92.3,48.99,CRITICAL
37.57,81.79,132.9,95.1,50.98,DANGER
31.59,82.71,163.4,92.3,40.23,DANGER
43.53,79.27,178.0,91.0,62.66,CRITICAL
27.31,54.51,123.8,96.6,29.81,WARNING
34.45,73.06,152.0,91.8,43.55,DANGER
29.73,53.79,112.9,97.3,33.11,SAFE
39.65,80.11,164.4,90.1,54.7,CRITICAL
35.92,55.26,111.6,95.1,42.66,WARNING
31.64,80.57,152.7,95.7,39.98,DANGER
25.57,30.91,110.7,98.3,24.9,SAFE
41.25,75.69,174.2,88.0,56.85,CRITICAL
29.74,59.32,123.4,97.0,33.89,WARNING
34.56,62.49,108.6,95.6,41.84,WARNING
38.36,79.67,161.3,94.6,52.05,DANGER
38.33,75.86,160.5,93.5,51.14,CRITICAL
31.05,24.66,74.6,98.3,30.7,SAFE
38.99,48.65,132.1,94.9,46.17,DANGER
25.48,45.41,68.6,98.8,26.35,SAFE
41.66,60.44,153.0,94.1,53.66,DANGER
30.93,54.39,147.6,96.0,34.93,WARNING
41.02,84.32,169.8,95.5,58.6,CRITICAL
34.26,94.88,169.0,95.1,47.1,DANGER
43.91,58.38,158.5,90.4,57.28,CRITICAL
44.61,61.36,175.8,91.3,59.53,CRITICAL
36.18,59.35,120.1,93.9,43.89,WARNING
37.21,57.78,159.4,95.3,45.27,DANGER
41.19,81.66,185.0,91.9,58.28,CRITICAL
32.09,43.5,124.8,96.2,34.93,WARNING
41.6,67.72,167.7,92.4,55.46,CRITICAL
37.31,82.82,107.1,95.9,50.68,WARNING
34.03,25.89,130.7,94.9,34.56,WARNING
38.31,55.73,179.5,91.7,46.65,CRITICAL
41.84,78.74,177.2,93.9,58.87,CRITICAL
44.83,65.66,157.2,92.6,61.33,CRITICAL
29.69,71.91,113.3,97.0,35.55,WARNING
43.22,43.2,130.4,93.7,51.63,DANGER
28.05,70.96,108.3,98.3,32.9,WARNING
28.9,54.98,96.4,98.3,32.09,SAFE
39.48,78.58,144.8,92.7,54.01,CRITICAL
20.62,54.7,76.0,98.7,21.0,SAFE
28.13,41.0,112.5,99.3,29.27,SAFE
38.63,82.35,149.4,92.9,53.19,DANGER
35.91,29.42,148.7,95.6,37.63,DANGER
39.96,62.93,145.4,94.1,51.18,DANGER
42.99,87.03,146.0,92.8,63.67,CRITICAL
25.79,28.89,91.8,97.8,24.94,SAFE
23.68,43.52,90.1,96.5,23.87,SAFE
23.5,38.01,108.0,98.2,23.12,SAFE
44.8,83.03,150.7,92.0,66.68,CRITICAL
27.38,63.69,128.9,96.2,31.02,WARNING
40.28,88.1,159.7,96.9,57.95,DANGER
39.4,61.98,159.0,95.0,49.96,DANGER
48.0,76.0,173.4,88.0,71.87,CRITICAL
24.28,70.13,99.9,97.1,27.29,SAFE
40.36,53.11,156.9,95.6,49.49,DANGER
32.53,45.24,139.3,97.4,35.82,WARNING
35.74,29.96,100.4,98.0,37.51,WARNING
36.47,85.59,149.8,93.8,49.63,DANGER
41.07,65.59,187.6,89.2,53.9,CRITICAL
